Wall time,Step,Value
1716334034.4553938,5928,4.0
1716334057.6777966,5990,4.0
1716334065.2498262,6010,3.999999761581421
1716334105.9281518,6121,4.0
1716334109.532284,6131,4.0
1716334135.0760808,6200,4.0
1716334139.9238143,6213,4.0
1716334141.981778,6219,4.0
1716334146.885231,6232,4.0
1716334167.3690634,6289,4.0
1716334175.988861,6312,3.999999761581421
1716334177.8502238,6317,4.0
1716334199.7816546,6376,4.0
1716334251.5125892,6520,4.0
1716334271.7267323,6574,4.0
1716334282.246176,6603,3.999999761581421
1716334352.9394815,6657,4.0
1716334367.0479076,6696,4.0
1716334368.1902034,6699,4.0
1716334372.1534894,6711,3.999999761581421
1716334383.8559396,6742,4.0
1716334424.2941756,6854,4.0
1716334465.3616576,6966,4.0
1716334475.1430738,6992,3.999999761581421
1716334483.4891608,7014,4.0
1716334518.8254914,7106,4.0
1716334521.6882915,7114,4.0
1716334536.3376694,7155,3.999999761581421
1716334569.7355347,7247,4.0
1716334593.4523942,7311,4.0
1716334610.8886771,7359,4.0
1716334619.1071873,7382,3.999999761581421
1716334626.061869,7401,4.0
1716334643.8245516,7450,4.0
1716334647.4992647,7460,4.0
1716334648.5718415,7463,4.0
1716334654.103191,7478,3.999999761581421
1716334665.7563932,7511,4.0
1716334780.4347887,7687,4.0
1716334782.5811343,7693,3.999999761581421
1716334807.1478517,7760,3.999999761581421
1716334819.0408454,7788,4.0
1716334822.7823007,7798,4.0
1716334835.7299306,7833,3.999999761581421
1716334893.573937,7991,4.0
1716334906.3205554,8026,4.0
1716334920.6932876,8066,4.0
1716334963.0236464,8180,4.0
1716334977.7659514,8221,4.0
1716335019.429571,8334,4.0
1716335030.0097754,8363,4.0
1716335031.816293,8368,4.0
1716335035.11391,8377,4.0
1716335068.456976,8467,4.0
1716335069.5516977,8470,3.999999761581421
1716335079.9757924,8498,3.999999761581421
1716335083.90429,8508,4.0
1716335156.423861,8566,4.0
1716335169.4109836,8601,3.999999761581421
1716335181.9865053,8635,4.0
1716335203.4188259,8695,4.0
1716335248.8098817,8819,4.0
1716335270.0908456,8878,4.0
1716335279.5399392,8904,4.0
1716335280.6870773,8907,4.0
1716335288.384899,8928,4.0
1716335290.8719916,8935,4.0
1716335312.2518063,8993,4.0
1716335314.2958012,8999,4.0
1716335334.487113,9055,4.0
1716335409.2856395,9260,3.999999761581421
1716335429.5225856,9316,4.0
1716335441.0736525,9348,3.999999761581421
1716335464.7012856,9412,4.0
1716335473.2162375,9435,4.0
1716335485.1788113,9468,4.0
1716335565.5106382,9547,4.0
1716335568.1400883,9554,4.0
1716335573.0003293,9567,4.0
1716335594.926098,9627,4.0
1716335606.0016272,9657,4.0
1716335614.2328396,9680,4.0
1716335620.7702742,9698,4.0
1716335673.039129,9843,4.0
1716335696.5401561,9907,4.0
1716335751.5168686,10058,4.0
1716335761.1127586,10084,4.0
1716335792.0413597,10168,4.0
1716335831.050016,10276,4.0
1716335833.6621687,10283,4.0
1716335874.98156,10396,4.0
1716335876.093663,10399,4.0
1716335935.0832849,10420,3.999999761581421
1716335956.9292955,10479,4.0
1716335960.700202,10489,4.0
1716335973.5424006,10522,3.999999761581421
1716336004.8220515,10607,4.0
1716336015.8584483,10638,4.0
1716336021.63174,10654,4.0
1716336027.6687112,10671,4.0
1716336041.9125648,10711,4.0
1716336058.7368407,10757,4.0
1716336059.0751808,10758,4.0
1716336067.0679843,10780,4.0
1716336080.062141,10815,4.0
1716336089.3240635,10841,4.0
1716336092.644413,10850,4.0
1716336111.8300655,10902,4.0
1716336112.8321664,10905,4.0
1716336125.3413947,10939,4.0
1716336126.8501015,10943,3.999999761581421
1716336135.1694832,10966,4.0
1716336137.5200276,10972,4.0
1716336138.1863742,10974,4.0
1716336155.1425257,11020,4.0
1716336161.8850734,11038,4.0
1716336184.8053565,11102,4.0
1716336191.8962638,11121,4.0
1716336195.2881122,11130,4.0
1716336219.8157773,11198,3.999999761581421
1716336220.5723867,11200,4.0
1716336241.9567,11260,4.0
1716336351.812197,11419,4.0
1716336371.0462592,11472,4.0
1716336378.6333606,11492,4.0
1716336390.0030959,11523,4.0
1716336393.2767057,11532,4.0
1716336399.3947363,11549,4.0
1716336405.597074,11566,4.0
1716336435.9966025,11648,3.999999761581421
1716336444.9841633,11671,4.0
1716336450.5011427,11685,4.0
1716336477.6518824,11759,4.0
1716336518.710739,11873,4.0
1716336553.0836523,11969,4.0
1716336555.0435011,11974,4.0
1716336568.0371492,12010,4.0
1716336579.2216551,12041,4.0
1716336614.6218321,12138,4.0
1716336623.9320965,12164,4.0
1716336625.3522012,12168,4.0
1716336631.1924572,12184,4.0
1716336646.43294,12226,4.0
1716336669.764445,12290,4.0
1716336670.917184,12293,4.0
1716336676.8800313,12309,4.0
1716336763.4696693,12405,4.0
1716336782.8536797,12458,4.0
1716336816.7821958,12553,4.0
1716336859.2168622,12671,4.0
1716336869.1451106,12699,4.0
1716336890.9060116,12758,3.999999761581421
1716336908.6462042,12805,4.0
1716336934.6396542,12877,4.0
1716336941.7949786,12896,4.0
1716336957.7350411,12939,4.0
1716336985.9397156,13017,4.0
1716336992.246601,13034,3.999999761581421
1716337002.0843775,13061,4.0
1716337009.711954,13082,4.0
1716337014.2689316,13094,4.0
1716337019.7429054,13109,3.999999761581421
1716337021.2735815,13113,4.0
1716337027.328739,13130,3.999999761581421
1716337040.1902587,13166,4.0
1716337054.890448,13206,4.0
1716337066.9056466,13239,4.0
1716337158.770325,13349,4.0
1716337177.7751648,13402,4.0
1716337179.2682204,13406,4.0
1716337186.4240575,13426,4.0
1716337214.333563,13504,4.0
1716337230.9572933,13546,4.0
1716337249.9063215,13597,4.0
1716337257.9478996,13620,4.0
1716337279.5768282,13679,4.0
1716337280.7653983,13682,3.999999761581421
1716337315.4301348,13776,4.0
1716337328.1517732,13810,4.0
1716337340.7675538,13845,4.0
1716337355.40832,13884,4.0
1716337389.0856612,13976,3.999999761581421
1716337396.9620864,13998,4.0
1716337427.128183,14080,4.0
1716337529.902539,14221,3.999999761581421
1716337554.395378,14287,4.0
1716337556.885347,14294,4.0
1716337559.9409673,14303,4.0
1716337566.1589458,14320,4.0
1716337571.4355075,14332,4.0
1716337573.6301148,14338,3.999999761581421
1716337595.3210523,14397,4.0
1716337613.3465557,14447,4.0
1716337630.6138086,14494,4.0
1716337644.1479053,14530,4.0
1716337654.13119,14557,4.0
1716337681.045991,14632,4.0
1716337683.1285534,14638,4.0
1716337694.2281005,14668,4.0
1716337697.440999,14677,4.0
1716337701.1076715,14687,3.999999761581421
1716337734.829783,14779,4.0
1716337735.2392411,14780,4.0
1716337738.1814604,14788,4.0
1716337739.652588,14792,4.0
1716337745.6767452,14809,4.0
1716337768.5599737,14873,3.999999761581421
1716337775.6284137,14892,4.0
1716337825.3268719,15027,4.0
1716337848.5222745,15090,4.0
1716337865.128798,15136,4.0
1716337932.5290635,15180,4.0
1716337939.2966151,15199,4.0
1716337963.6515846,15266,4.0
1716337984.844805,15324,3.999999761581421
1716337992.8585107,15347,4.0
1716338039.6506517,15473,4.0
1716338040.2909024,15475,4.0
1716338051.876434,15507,3.999999761581421
1716338063.4464455,15538,4.0
1716338084.8419616,15597,4.0
1716338137.0705497,15740,4.0
1716338145.7701201,15764,4.0
1716338149.3075523,15773,3.999999761581421
1716338167.8363743,15825,4.0
1716338168.8253007,15828,4.0
1716338224.2641697,15979,4.0
1716338229.2428253,15993,4.0
1716338266.8544126,16095,4.0
1716338325.862384,16116,4.0
1716338374.6626208,16249,4.0
1716338401.0966344,16321,4.0
1716338409.3491437,16343,3.999999761581421
1716338415.694084,16360,4.0
1716338432.177857,16406,3.999999761581421
1716338444.3727858,16440,4.0
1716338467.8614461,16505,4.0
1716338496.8640907,16585,3.999999761581421
1716338498.7306654,16590,4.0
1716338524.2668772,16661,4.0
1716338537.301714,16697,4.0
1716338578.60172,16808,4.0
1716338578.9746518,16809,3.999999761581421
1716338591.3695917,16843,3.999999761581421
1716338596.3486774,16857,4.0
1716338611.5634255,16899,4.0
1716338723.6522152,17066,4.0
1716338735.0008237,17097,4.0
1716338747.2294822,17131,4.0
1716338772.69514,17202,4.0
1716338786.0567353,17239,3.999999761581421
1716338797.9640195,17272,4.0
1716338804.7264388,17290,4.0
1716338805.4862678,17292,4.0
1716338814.2393634,17316,3.999999761581421
1716338814.610225,17317,4.0
1716338815.6426632,17320,4.0
1716338822.804782,17339,4.0
1716338835.9048636,17374,4.0
1716338847.1230183,17405,3.999999761581421
1716338861.3112907,17444,4.0
1716338865.0426583,17454,4.0
1716338897.3742726,17543,3.999999761581421
1716338902.5056226,17557,4.0
1716338912.8008075,17586,4.0
1716338915.7372828,17594,4.0
1716338926.2358882,17623,4.0
1716338962.5744681,17722,4.0
1716339046.9539773,17953,3.999999761581421
1716339056.5685773,17978,4.0
1716339057.6559527,17981,3.999999761581421
1716339061.0025797,17990,4.0
1716339122.616281,18018,4.0
1716339135.5839071,18053,4.0
1716339139.7956896,18065,4.0
1716339163.1366916,18129,4.0
1716339211.9522285,18264,4.0
1716339231.2814322,18318,4.0
1716339280.198939,18451,4.0
1716339280.5348969,18452,3.999999761581421
1716339331.5349853,18592,4.0
1716339375.406412,18713,4.0
1716339377.9273198,18720,4.0
1716339423.1998944,18845,4.0
1716339516.7264721,18958,4.0
1716339523.32899,18977,4.0
1716339533.218893,19005,4.0
1716339541.589591,19027,4.0
1716339549.203225,19048,4.0
1716339574.1662998,19116,4.0
1716339592.884008,19169,4.0
1716339613.8591082,19227,3.999999761581421
1716339629.5679526,19271,4.0
1716339639.9784472,19300,4.0
1716339707.2587438,19485,4.0
1716339712.81472,19500,4.0
1716339713.8713582,19503,4.0
1716339721.9213505,19525,4.0
1716339724.1735158,19531,4.0
1716339741.7108948,19579,4.0
1716339764.062387,19640,4.0
1716339769.5454075,19654,4.0
1716339773.3971498,19665,4.0
1716339793.1350505,19720,3.999999761581421
1716339797.1747718,19731,4.0
1716339799.4850333,19737,3.999999761581421
1716339821.2631965,19796,4.0
1716339831.2321303,19823,4.0
1716339839.690358,19846,4.0
1716339917.0168154,19916,4.0
1716339925.1056128,19938,4.0
1716339937.2898629,19971,4.0
1716339943.2513769,19988,4.0
1716339945.840809,19995,4.0
1716339960.6394262,20035,3.999999761581421
1716339967.2334833,20053,4.0
1716339969.429929,20059,4.0
1716339970.5124032,20062,3.999999761581421
1716339997.8569732,20138,4.0
1716339998.1814163,20139,3.999999761581421
1716340014.7959976,20186,4.0
1716340026.3436713,20217,4.0
1716340036.0197258,20244,4.0
1716340037.2005916,20247,3.999999761581421
1716340039.0892134,20252,4.0
1716340059.2749157,20308,4.0
1716340064.897293,20323,4.0
1716340068.7006154,20334,4.0
1716340086.7024372,20383,4.0
1716340107.6495562,20440,4.0
1716340123.907588,20485,4.0
1716340138.7371788,20526,4.0
1716340143.5370233,20539,4.0
1716340143.879734,20540,4.0
1716340152.028346,20562,4.0
1716340157.9667113,20578,4.0
1716340198.1109028,20689,4.0
1716340205.6108325,20710,4.0
1716340230.5965378,20779,4.0
1716340231.615171,20782,3.999999761581421
1716340232.0124588,20783,4.0
1716340249.8972394,20831,4.0
1716340310.1632218,20855,4.0
1716340357.7983475,20987,4.0
1716340387.215211,21067,4.0
1716340391.7562087,21080,4.0
1716340415.012549,21144,4.0
1716340438.3986928,21209,4.0
1716340446.872449,21232,4.0
1716340477.6611862,21316,4.0
1716340478.7362947,21319,4.0
1716340480.4639485,21324,4.0
1716340504.5926943,21391,3.999999761581421
1716340511.0172677,21409,4.0
1716340538.5320983,21484,4.0
1716340552.61178,21523,4.0
1716340610.5911343,21681,4.0
1716340625.8871324,21723,4.0
1716340626.18255,21724,4.0
1716340711.9736938,21789,4.0
1716340715.8752103,21795,3.999999761581421
1716340735.2535925,21821,3.999999761581421
1716340750.1626182,21842,4.0
1716340754.5789802,21848,4.0
1716340798.802664,21967,3.999999761581421
1716340812.699083,22006,4.0
1716340890.983269,22220,4.0
1716340900.2176106,22245,4.0
1716340904.8076878,22258,4.0
1716340917.2284572,22292,3.999999761581421
1716340926.3133426,22316,4.0
1716340931.5585468,22330,4.0
1716340942.2355185,22358,3.999999761581421
1716340984.3250735,22472,4.0
1716340996.8229697,22507,4.0
1716341011.8623972,22544,4.0
1716341044.5237732,22635,4.0
1716341139.979284,22758,4.0
1716341142.593337,22765,4.0
1716341169.6760874,22840,4.0
1716341202.6569753,22930,3.999999761581421
1716341203.8434458,22933,4.0
1716341258.1603196,23080,3.999999761581421
1716341259.585775,23084,4.0
1716341275.0492623,23127,4.0
1716341279.0267115,23138,4.0
1716341280.8965673,23143,4.0
1716341282.8027177,23148,4.0
1716341295.5557628,23182,4.0
1716341299.104657,23192,4.0
1716341308.222261,23218,4.0
1716341325.719937,23263,4.0
1716341333.9492114,23286,4.0
1716341352.262679,23337,4.0
1716341360.8622632,23361,4.0
1716341367.708506,23380,4.0
1716341385.214592,23427,4.0
1716341426.8577304,23540,4.0
1716341444.761174,23589,4.0
1716341474.7211318,23670,4.0
1716341529.6391737,23681,4.0
1716341536.6213932,23701,4.0
1716341563.0582187,23774,4.0
1716341583.9077234,23831,4.0
1716341623.3471098,23938,4.0
1716341674.515695,24079,4.0
1716341688.2139335,24118,3.999999761581421
1716341698.6874313,24147,4.0
1716341712.5199916,24186,4.0
1716341730.5689669,24234,3.999999761581421
1716341748.1749544,24282,3.999999761581421
1716341748.989912,24284,4.0
1716341762.9721348,24322,4.0
1716341771.4139369,24345,4.0
1716341799.2228312,24416,4.0
1716341851.9499767,24557,4.0
1716341874.9985557,24621,4.0
1716341942.6518943,24667,4.0
1716341953.288388,24697,4.0
1716341961.3649762,24719,4.0
1716341964.3757255,24727,4.0
1716342008.9015644,24849,3.999999761581421
1716342019.942341,24879,4.0
1716342028.237093,24901,4.0
1716342040.0385861,24934,4.0
1716342069.3510528,25008,4.0
1716342083.7703254,25047,4.0
1716342116.0324032,25133,4.0
1716342142.347508,25206,4.0
1716342151.522834,25231,3.999999761581421
1716342156.37885,25244,3.999999761581421
1716342159.8055077,25253,4.0
1716342188.6806123,25332,4.0
1716342210.1643326,25391,4.0
1716342251.400972,25505,4.0
1716342256.6715264,25520,4.0
1716342336.029791,25599,4.0
1716342367.8837528,25686,4.0
1716342400.2341406,25775,4.0
1716342413.8613105,25812,4.0
1716342426.6679652,25847,4.0
1716342454.0344117,25921,4.0
1716342493.936368,26029,4.0
1716342499.8207135,26045,4.0
1716342507.431007,26066,4.0
1716342510.4126656,26075,4.0
1716342516.2091122,26091,3.999999761581421
1716342538.8715112,26154,4.0
1716342539.2176669,26155,4.0
1716342544.571412,26169,4.0
1716342588.9641354,26292,4.0
1716342593.082701,26303,4.0
1716342629.7261136,26403,3.999999761581421
1716342654.148128,26470,4.0
1716342778.1982336,26670,3.999999761581421
1716342809.5936441,26756,4.0
1716342824.4844475,26797,4.0
1716342824.895682,26798,4.0
1716342835.477947,26827,4.0
1716342836.3048878,26829,4.0
1716342872.087839,26928,4.0
1716342927.7443142,27078,3.999999761581421
1716342951.0176108,27142,4.0
1716342953.1158211,27148,4.0
1716342955.2975585,27154,4.0
1716342956.736672,27158,3.999999761581421
1716342957.0480187,27159,4.0
1716342984.2826793,27234,4.0
1716342998.2565844,27274,4.0
1716343018.5578566,27329,4.0
1716343062.2924197,27449,3.999999761581421
1716343065.1066332,27457,4.0
1716343133.2311733,27505,4.0
1716343157.3066578,27572,4.0
1716343168.5292282,27603,4.0
1716343172.305936,27613,4.0
1716343174.828922,27620,3.999999761581421
1716343181.2557068,27638,4.0
1716343201.5083892,27695,4.0
1716343217.2355914,27739,4.0
1716343248.7004547,27825,4.0
1716343282.1661432,27916,3.999999761581421
1716343282.839438,27918,4.0
1716343294.4321122,27950,4.0
1716343301.142703,27968,3.999999761581421
1716343404.0587096,28251,4.0
1716343413.8402007,28277,4.0
1716343429.9625757,28321,4.0
1716343450.42571,28376,4.0
1716343524.0427432,28438,4.0
1716343528.908408,28451,4.0
1716343562.6940045,28543,4.0
1716343573.1206608,28572,4.0
1716343587.3723578,28611,4.0
1716343688.5625365,28891,4.0
1716343717.2011669,28970,4.0
1716343726.7066665,28996,4.0
1716343735.0663755,29018,4.0
1716343742.4265578,29037,4.0
1716343749.8008623,29057,4.0
1716343751.5034945,29062,4.0
1716343757.334271,29078,4.0
1716343761.517081,29090,4.0
1716343767.350852,29106,3.999999761581421
1716343777.33157,29133,4.0
1716343801.8784766,29201,4.0
1716343824.7027383,29263,4.0
1716343827.5764983,29271,3.999999761581421
1716343951.232533,29471,4.0
1716343954.046687,29478,4.0
1716343957.5373585,29487,4.0
1716343976.465606,29537,3.999999761581421
1716343977.4515705,29540,4.0
1716343984.9410613,29561,4.0
1716343989.215103,29573,4.0
1716343995.8870049,29592,4.0
1716344002.7987344,29611,4.0
1716344051.9711382,29747,4.0
1716344081.594601,29828,4.0
1716344082.0009303,29829,3.999999761581421
1716344094.4697165,29863,4.0
1716344101.4279554,29882,3.999999761581421
1716344118.4915743,29928,4.0
1716344144.4029062,30000,4.0
1716344146.2767918,30005,4.0
1716344155.5136287,30031,4.0
1716344172.3910637,30077,4.0
1716344178.1035862,30092,4.0
1716344208.436312,30174,4.0
1716344224.2236102,30217,4.0
1716344233.6565857,30243,3.999999761581421
1716344248.461359,30284,4.0
1716344315.0454545,30327,3.999999761581421
1716344363.13966,30459,4.0
1716344365.677832,30466,4.0
1716344367.0936162,30470,4.0
1716344405.1419365,30572,4.0
1716344419.4469368,30612,4.0
1716344453.1276016,30706,4.0
1716344458.206296,30720,4.0
1716344465.02709,30738,3.999999761581421
1716344480.3718555,30780,4.0
1716344579.8660781,31052,4.0
1716344599.4376223,31105,4.0
1716344642.5623915,31224,4.0
1716344759.7363923,31406,4.0
1716344773.5198846,31443,3.999999761581421
1716344781.3946111,31464,3.999999761581421
1716344808.3231983,31537,4.0
1716344865.9717453,31696,4.0
1716344875.1113327,31722,4.0
1716344889.7514484,31762,4.0
1716344906.4161503,31808,4.0
1716344929.8184705,31873,4.0
1716344932.419358,31880,4.0
1716344935.2184253,31888,3.999999761581421
1716344952.9677656,31936,4.0
1716344956.1540937,31945,4.0
1716344977.0300226,32004,4.0
1716344981.7173052,32017,4.0
1716345034.8603375,32162,4.0
1716345039.2921638,32174,4.0
1716345103.6037517,32207,4.0
1716345118.4539018,32249,4.0
1716345141.7467802,32314,4.0
1716345168.9495363,32388,4.0
1716345185.9939847,32435,4.0
1716345199.2446916,32471,4.0
1716345209.5161178,32500,4.0
1716345220.1114666,32529,4.0
